GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
30,1551.9375,3776.8902,4326.8783,0.0,0.0,0.0,-3278.9492,-27178.4961,4555.6893,15353.2234,-6937.7096,161.88048432,-892.8266000000003,-6775.8291156800005,-7668.655715680001
31,1498.0213,3692.627,4320.2041,0.0,0.0,0.0,-3206.1961,-27085.5364,4723.0832,15418.886,-7025.3145,164.41384896,-638.9109000000008,-6860.90065104,-7499.811551040001
32,1552.1752,3687.1204,4337.5315,0.0,0.0,0.0,-3269.3586,-27313.8789,4709.9138,15503.1154,-6911.4833,160.26075288,-793.3811999999998,-6751.22254712,-7544.60374712
33,1574.118,3712.8774,4351.3505,0.0,0.0,0.0,-3274.0438,-27243.4686,4575.6537,15414.692,-6925.0583,164.22140951999998,-888.8208000000013,-6760.83689048,-7649.657690480001
34,1504.8964,3733.2122,4381.9499,0.0,0.0,0.0,-3257.3558,-27331.8444,4680.1914,15369.4674,-6767.947,162.77357808,-919.4829000000009,-6605.17342192,-7524.656321920001
35,1523.0092,3705.3859,4330.9402,0.0,0.0,0.0,-3212.9812,-27399.211,4598.1509,15538.6613,-6831.1228,167.33760048,-916.0446999999986,-6663.78519952,-7579.829899519998
36,1494.7361,3757.3841,4374.6404,0.0,0.0,0.0,-3299.774,-27359.7417,4584.9916,15514.0275,-6829.5888,165.43686312,-933.7359999999935,-6664.15193688,-7597.8879368799935
37,1521.4,3677.4533,4323.2493,0.0,0.0,0.0,-3174.4627,-27485.0181,4609.823,15343.1633,-6690.1249,166.30615727999998,-1184.3918999999987,-6523.81874272,-7708.210642719999
38,1561.4958,3684.1568,4346.3308,0.0,0.0,0.0,-3293.7614,-27177.2826,4531.7825,15411.9293,-6970.2819,166.89255408,-935.3487999999961,-6803.38934592,-7738.738145919996
39,1493.0165,3743.633,4344.139,0.0,0.0,0.0,-3269.9202,-27320.3779,4557.3391,15506.6064,-6892.3652,164.60444375999998,-945.5640999999996,-6727.76075624,-7673.3248562399995
40,1536.4029,3691.0718,4318.3246,0.0,0.0,0.0,-3304.5844,-27143.3375,4584.0808,15538.4696,-7039.3496,165.20412744,-779.5722000000023,-6874.14547256,-7653.717672560002
41,1541.4124,3734.7494,4317.2611,0.0,0.0,0.0,-3287.41,-27360.87,4537.8789,15479.5517,-6839.9825,164.57781744,-1037.4265000000014,-6675.40468256,-7712.831182560001
42,1553.3977,3673.9108,4279.2873,0.0,0.0,0.0,-3247.8759,-27326.1644,4590.5824,15515.7488,-6915.3286,166.95714744,-961.1133000000027,-6748.37145256,-7709.484752560003
43,1534.9271,3743.2948,4268.1723,0.0,0.0,0.0,-3286.5508,-26717.1994,4545.988,15468.6628,-7387.1521,167.99289407999999,-442.7051999999985,-7219.15920592,-7661.864405919999
44,1516.5555,3757.2705,4282.4304,0.0,0.0,0.0,-3287.7068,-27155.5966,4587.9846,15460.5682,-6993.5957,165.6746748,-838.4941999999992,-6827.9210252,-7666.415225199999
45,1510.8703,3773.3289,4329.9471,0.0,0.0,0.0,-3286.9238,-27100.9082,4556.216,15529.2584,-7097.5693,165.31759368,-688.2113000000008,-6932.25170632,-7620.463006320001
46,1445.5716,3708.5193,4286.6483,0.0,0.0,0.0,-3220.2891,-26961.4762,4658.7135,15518.6665,-7207.6064,168.53317776,-563.6461000000036,-7039.073222239999,-7602.719322240003
47,1478.4962,3730.9458,4293.0708,0.0,0.0,0.0,-3266.6267,-27065.36,4583.328,15559.3627,-7097.4196,166.44036024,-686.7831999999999,-6930.97923976,-7617.76243976
48,1549.649,3719.8594,4340.4364,0.0,0.0,0.0,-3261.1767,-27099.9405,4595.0516,15518.5922,-7064.8319,172.27256328,-637.5286000000051,-6892.55933672,-7530.087936720005
49,1522.7392,3738.0856,4341.7474,0.0,0.0,0.0,-3238.6788,-27321.6147,4675.6233,15521.0016,-6914.2775,166.70488752,-761.0963999999985,-6747.57261248,-7508.669012479999

